,period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
3028,10/1/2013,10/31/2013,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,Condo/Co-op,3,,,,,,,,,,,,,197.0038855,-0.030987193,0.135894234,,,,,,,1528.378123,0.000349792,-0.087134562,,,,,,,,,,0.088333209,-0.03222948,0.006972004,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3029,10/1/2020,10/31/2020,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,Condo/Co-op,3,,,,,,,,,,,,,331.8353031,0.1291016,0.529960543,,,,,,,673.7115004,0.077877034,-0.145548037,,,,,,,,,,0.328177345,0.066900151,0.184733298,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3030,1/1/2014,1/31/2014,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,All Residential,-1,,,,,,,132.6155928,0.035690237,0.060311613,,,,,,,,,,,,,,,,,,,115.778683,5.0,-2.0,,,,,,,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3031,6/1/2015,6/30/2015,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,Condo/Co-op,3,,,,,,,,,,,,,207.287608,-0.054608655,-0.055622563,,,,,,,1274.284946,0.00657983,-0.221330477,,,,,,,,,,0.111307868,0.029625531,0.015257849,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3032,9/1/2016,9/30/2016,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,Condo/Co-op,3,,,,,,,,,,,,,208.5765076,-0.091570922,-0.136449051,,,,,,,1232.857002,-0.012188513,-0.065877506,,,,,,,,,,0.117686618,0.040961536,0.011522247,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3033,9/1/2019,9/30/2019,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,Single Family Residential,6,,,,,,,,,,,,,,,,,,,,,,4352.441927,-0.003675645,-0.039005006,,,,,,,,,,0.278540167,0.027717498,0.02765561,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3034,12/1/2012,12/31/2012,30,metro,-2,25540,t,"Hartford, CT metro area",,,CT,All Residential,-1,,,,,,,128.3975508,-0.001812331,,,,,,,,,,,,,,,,,,,,124.8800492,-5.0,,,,,,,,,,,,,,"Hartford, CT",25540,1/9/2022 0:00
3035,11/1/2014,11/30/2014,30,metro,-2,33460,f,"Minneapolis, MN metro area",,,MN,Condo/Co-op,3,137000.0,-0.11641406,-0.021428571,124900.0,-0.218886804,-0.16398929,137.6923077,-0.096247645,0.130321599,127.2600834,-0.161056913,-0.128091267,189.0,-0.341463415,-0.15625,142.0,-0.256544503,-0.106918239,179.0,-0.36971831,-0.100502513,752.0,-0.07503075,-0.102625298,4.0,1.2,0.3,48.0,-1.0,4.0,0.973704919,0.004318011,0.002444448,0.164021164,0.049038586,-0.041335979,0.190159574,-0.113653464,-0.017477657,0.190140845,0.00165917,-0.036274249,"Minneapolis, MN",33460,1/9/2022 14:29
3036,4/1/2014,4/30/2014,30,metro,-2,33460,f,"Minneapolis, MN metro area",,,MN,Townhouse,13,157700.0,0.070604209,0.106666667,165000.0,-0.028840494,0.042983565,101.146325,0.03881948,0.087949325,107.2336467,0.009983259,0.077178204,668.0,0.309803922,-0.014749263,776.0,0.442379182,0.082287308,1106.0,0.158115183,0.055343511,1862.0,0.072580645,0.002152853,2.8,-0.6,0.1,39.0,-13.0,4.0,0.98479806,0.004789945,-0.001895487,0.193113772,-0.001003875,-0.051723986,0.248120301,0.060332282,,0.323453608,-0.005542674,-0.008485025,"Minneapolis, MN",33460,1/9/2022 14:29
3037,6/1/2021,6/30/2021,30,metro,-2,33460,f,"Minneapolis, MN metro area",,,MN,All Residential,-1,351000.0,0.017391304,0.143322476,340000.0,-0.005702588,0.099754173,180.9455855,0.008533553,0.165412245,177.0595001,0.013882485,0.113363973,7661.0,0.343328073,0.223801917,6850.0,-0.001166521,0.060371517,8004.0,0.094040459,0.150992235,6680.0,0.141295062,-0.26253036,0.9,-0.1,-0.5,12.0,0.0,-10.0,1.041143101,0.001760901,0.037259349,0.663490406,0.014533716,0.225151748,0.22754491,0.039777953,-0.020743895,0.611970803,-0.059799392,0.144323744,"Minneapolis, MN",33460,1/9/2022 14:29
