zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,Metro,irs_estimated_population
30269,STANDARD,0,Peachtree City,Peachtree Cty,,GA,Fayette County,America/New_York,"678,770",NA,US,33.39,-84.56,Atlanta,37400
30270,UNIQUE,0,Peachtree City,"Fayetteville, Peachtree Cty",Peachtree City Parcel Return,GA,Fayette County,America/New_York,678,NA,US,33.4,-84.6,Atlanta,0
30272,PO BOX,0,Red Oak,,,GA,Fulton County,America/New_York,678,NA,US,33.62,-84.53,Atlanta,642
30273,STANDARD,0,Rex,,,GA,Clayton County,America/New_York,678,NA,US,33.58,-84.27,Atlanta,16270
30274,STANDARD,0,Riverdale,,,GA,Clayton County,America/New_York,"678,770",NA,US,33.56,-84.4,Atlanta,29150
30281,STANDARD,0,Stockbridge,,,GA,Henry County,America/New_York,"678,770",NA,US,33.54,-84.24,Atlanta,60480
30287,PO BOX,0,Morrow,,,GA,Clayton County,America/New_York,404,NA,US,33.57,-84.34,Atlanta,239
30288,STANDARD,0,Conley,,,GA,Clayton County,America/New_York,,NA,US,33.65,-84.33,Atlanta,7370
30290,STANDARD,0,Tyrone,,,GA,Fayette County,America/New_York,"678,770",NA,US,33.46,-84.59,Atlanta,9000
30291,STANDARD,0,Union City,,,GA,Fulton County,America/New_York,678,NA,US,33.57,-84.54,Atlanta,19980
30294,STANDARD,0,Ellenwood,,,GA,DeKalb County,America/New_York,,NA,US,33.63,-84.26,Atlanta,37600
30296,STANDARD,0,Riverdale,,,GA,Clayton County,America/New_York,678,NA,US,33.56,-84.44,Atlanta,24560
30297,STANDARD,0,Forest Park,"Fort Gillem, Gillem Enclave, Gillem Enclv",,GA,Clayton County,America/New_York,404,NA,US,33.62,-84.37,Atlanta,23090
30298,PO BOX,0,Forest Park,,Forest,GA,Clayton County,America/New_York,404,NA,US,33.61,-84.35,Atlanta,875
30301,PO BOX,0,Atlanta,,Atl,GA,Fulton County,America/New_York,404,NA,US,33.85,-84.39,Atlanta,1009
30302,PO BOX,0,Atlanta,,Atl,GA,Fulton County,America/New_York,404,NA,US,33.75,-84.38,Atlanta,774
30303,STANDARD,0,Atlanta,,"Atl, Georgia State University",GA,Fulton County,America/New_York,"470,404,678",NA,US,33.75,-84.39,Atlanta,1800
30304,STANDARD,0,Atlanta,,Atl,GA,Fulton County,America/New_York,404,NA,US,33.64,-84.39,Atlanta,0
30305,STANDARD,0,Atlanta,,Atl,GA,Fulton County,America/New_York,############,NA,US,33.83,-84.38,Atlanta,22750
30306,STANDARD,0,Atlanta,,"Atl, North Highland Finance",GA,Fulton County,America/New_York,404,NA,US,33.78,-84.34,Atlanta,20460
30307,STANDARD,0,Atlanta,,"Atl, Little Five Points Pstl Str",GA,DeKalb County,America/New_York,404,NA,US,33.76,-84.33,Atlanta,17540
30308,STANDARD,0,Atlanta,,Atl,GA,Fulton County,America/New_York,"404,678",NA,US,33.77,-84.37,Atlanta,13770
30309,STANDARD,0,Atlanta,,Atl,GA,Fulton County,America/New_York,"678,404",NA,US,33.78,-84.38,Atlanta,22880
30310,STANDARD,0,Atlanta,,"Atl, Fort Mcpherson",GA,Fulton County,America/New_York,"404,678",NA,US,33.72,-84.42,Atlanta,19900
30311,STANDARD,0,Atlanta,South Fulton,Atl,GA,Fulton County,America/New_York,404,NA,US,33.72,-84.48,Atlanta,25150
30312,STANDARD,0,Atlanta,,Atl,GA,Fulton County,America/New_York,############,NA,US,33.74,-84.38,Atlanta,17770
30313,STANDARD,0,Atlanta,,Atl,GA,Fulton County,America/New_York,"404,470,678",NA,US,33.76,-84.4,Atlanta,2940
30314,STANDARD,0,Atlanta,,Atl,GA,Fulton County,America/New_York,404,NA,US,33.75,-84.42,Atlanta,11130
30315,STANDARD,0,Atlanta,,Atl,GA,Fulton County,America/New_York,"678,404",NA,US,33.7,-84.38,Atlanta,24320
30316,STANDARD,0,Atlanta,,Atl,GA,DeKalb County,America/New_York,404,NA,US,33.72,-84.32,Atlanta,26920
30317,STANDARD,0,Atlanta,,Atl,GA,DeKalb County,America/New_York,404,NA,US,33.75,-84.32,Atlanta,11610
30318,STANDARD,0,Atlanta,,Atl,GA,Fulton County,America/New_York,"404,678,770",NA,US,33.78,-84.44,Atlanta,39770
30319,STANDARD,0,Atlanta,"Brookhaven, Sandy Spgs, Sandy Springs","Atl, North Atlanta",GA,DeKalb County,America/New_York,"678,770",NA,US,33.87,-84.33,Atlanta,36360
