zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,Metro,irs_estimated_population
20392,UNIQUE,0,Washington,,Navy Observatory,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20393,UNIQUE,0,Washington,,Navy Security Group,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20394,UNIQUE,0,Washington,,Naval Telecommunications Com,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20395,UNIQUE,0,Washington,,Naval Intelligence Support C,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20398,STANDARD,0,Washington Navy Yard,"Washington, Washington Na",Military Sealift Command,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20401,UNIQUE,0,Washington,,Gov Printing Office,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20402,UNIQUE,0,Washington,,Gpo Supt Of Documents,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20403,UNIQUE,0,Washington,,Gpo Field Serv Div,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20404,UNIQUE,0,Washington,,Gpo Procurement Div,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20405,UNIQUE,0,Washington,,Gen Services Admin,DC,District of Columbia,America/New_York,202,NA,US,38.9,-77.04,DC,0
20406,UNIQUE,0,Washington,,Gsa Crystal City,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20407,UNIQUE,0,Washington,,Gsa Region 3,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20408,UNIQUE,0,Washington,,Natl Archives And Records,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20409,UNIQUE,1,Washington,,Fed Records Center,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20410,UNIQUE,0,Washington,,Housing And Urban Dev,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20411,UNIQUE,0,Washington,,Hud Fed Housing Adm,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20412,UNIQUE,0,Washington,,Fha Comptroller,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20413,UNIQUE,0,Washington,,Housing Assistance Adm,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20414,UNIQUE,0,Washington,,Hud Fed Natl Mortgage,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20415,UNIQUE,0,Washington,,Office Personnel Mgmt,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20416,UNIQUE,0,Washington,,Small Business Admin,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20418,UNIQUE,0,Washington,,National Academy Of Science,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.05,DC,0
20419,UNIQUE,0,Washington,,Merit Systems Protection Bd,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20420,UNIQUE,0,Washington,,Veterans Admin,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20421,UNIQUE,0,Washington,,Veterans Benefits Office,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20422,UNIQUE,0,Washington,,Veterans Hospital,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20423,UNIQUE,0,Washington,,Surface Transportation Board,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20424,UNIQUE,0,Washington,,Fed Labor Relations Auth,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20425,UNIQUE,0,Washington,,Comm On Civil Rights,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20426,UNIQUE,0,Washington,,Federal Energy Reg Comm,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20427,UNIQUE,0,Washington,,Fed Mediation And Concil Ser,DC,District of Columbia,America/New_York,202,NA,US,38.9,-77.05,DC,0
20428,UNIQUE,0,Washington,,Civil Aeronautics Board,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20429,UNIQUE,0,Washington,,Federal Deposit Ins Corp,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20431,UNIQUE,0,Washington,,International Monetary Fund,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,97
20433,UNIQUE,0,Washington,,World Bank,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,194
20434,UNIQUE,0,Washington,,Resolution Trust Corporation,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20435,UNIQUE,0,Washington,,National Selective Service,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20436,UNIQUE,0,Washington,,International Trade Comm,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20437,UNIQUE,0,Washington,,Food And Drug Admin,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20439,UNIQUE,0,Washington,,Us Court Appeal Fed Circuit,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
20440,UNIQUE,0,Washington,,International Joint Comm,DC,District of Columbia,America/New_York,202,NA,US,38.89,-77.03,DC,0
