zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,Metro,irs_estimated_population
55387,STANDARD,0,Waconia,Victoria,Minnetrista,MN,Carver County,America/Chicago,952,NA,US,44.84,-93.79,Minneapolis,14050
55388,STANDARD,0,Watertown,Minnetrista,,MN,Carver County,America/Chicago,952,NA,US,44.96,-93.84,Minneapolis,5540
55390,STANDARD,0,Waverly,,,MN,Wright County,America/Chicago,,NA,US,45.06,-93.96,Minneapolis,2910
55391,STANDARD,0,Wayzata,,"Deephaven, Orono, Woodland",MN,Hennepin County,America/Chicago,"763,952",NA,US,44.97,-93.51,Minneapolis,15250
55392,PO BOX,1,Navarre,,,MN,Hennepin County,America/Chicago,,NA,US,44.95,-93.54,Minneapolis,0
55393,PO BOX,1,Maple Plain,,,MN,Hennepin County,America/Chicago,952,NA,US,45,-93.66,Minneapolis,0
55394,PO BOX,1,Young America,,Norwood Young America,MN,Carver County,America/Chicago,952,NA,US,44.78,-93.91,Minneapolis,0
55397,STANDARD,0,Young America,"Norwood Young America, Nya",,MN,Carver County,America/Chicago,952,NA,US,44.78,-93.91,Minneapolis,2770
55398,STANDARD,0,Zimmerman,,,MN,Sherburne County,America/Chicago,763,NA,US,45.44,-93.59,Minneapolis,16380
55399,PO BOX,1,Young America,,Norwood Young America,MN,Carver County,America/Chicago,952,NA,US,44.78,-93.91,Minneapolis,0
55401,STANDARD,0,Minneapolis,,,MN,Hennepin County,America/Chicago,############,NA,US,44.98,-93.27,Minneapolis,9360
55402,STANDARD,0,Minneapolis,,,MN,Hennepin County,America/Chicago,############,NA,US,44.98,-93.27,Minneapolis,1230
55403,STANDARD,0,Minneapolis,,,MN,Hennepin County,America/Chicago,"612,763,952",NA,US,44.97,-93.28,Minneapolis,12100
55404,STANDARD,0,Minneapolis,,,MN,Hennepin County,America/Chicago,############,NA,US,44.96,-93.26,Minneapolis,20260
